,# of ratings (n),PROPORTION OF EXPECTED FINAL WORD (%),OTHER COMPLETIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be sitting on a goldmine,108,0.09,,beach,0.02,bench,0.29,bus,0.03,chair,0.11,cloud,0.04,couch,0.09,deck,0.01,dock,0.02,edge,0.01,fence,0.03,floor,0.01,fortune,0.03,hill,0.02,ledge,0.06,log,0.02,porch,0.01,river,0.01,rock,0.02,rug,0.01,secret,0.02,sofa,0.03,star,0.01,stool,0.01,swing,0.01,tack,0.01,track,0.01,tree,0.01,wall,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be skating on thin ice,107,0.98,,air,0.01,sidewalk,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be small potatoes,106,0.25,,achievements,0.01,animal/animals,0.02,beans,0.02,bits,0.01,business,0.01,change,0.04,chat,0.01,children,0.01,consolation,0.01,doses,0.01,enough,0.01,favor,0.01,fees,0.01,feet,0.01,fish,0.02,fries,0.03,gift,0.01,group,0.01,hands,0.01,hills,0.01,inside,0.01,kids,0.02,minded,0.03,notes,0.01,people,0.02,pieces,0.01,price,0.02,profit,0.01,progress,0.01,puppy/puppies,0.02,rice,0.01,rings,0.01,rocks,0.01,sacrifice,0.01,scale,0.01,shaped,0.01,size,0.01,space,0.01,stuff,0.01,there,0.01,team,0.01,thing/things,0.03,time,0.11,token,0.01,too,0.02,town,0.03,win,0.01,wonder,0.01,world,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be sold on it,106,0.70,,diving,0.01,Friday,0.01,food,0.01,hello,0.02,her,0.02,him,0.06,hope,0.01,ice,0.01,ideas,0.01,internet,0.01,love,0.01,merit,0.01,money,0.01,principle,0.01,sight,0.01,smartphones,0.01,stupid,0.01,talking,0.01,that,0.02,them,0.03,this,0.01,TV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be someone's baby,110,0.00,,accuser,0.01,angel,0.02,babe,0.01,bae,0.01,colleague,0.01,companion,0.01,comrade,0.01,confidant,0.01,daughter,0.01,ex,0.01,fiancee,0.01,first,0.02,friend,0.11,girl,0.07,girlfriend,0.07,gun,0.01,heart,0.02,hero,0.01,husband,0.01,inspiration,0.02,keeper,0.01,kitten,0.01,kryptonite,0.02,lady,0.02,love,0.02,lover,0.03,man,0.01,mate,0.02,mentor,0.01,mother,0.03,muse,0.05,nemesis,0.01,princess,0.01,protector,0.01,rock,0.05,rushmore,0.01,savior,0.01,sidekick,0.01,sister,0.01,slave,0.02,son,0.01,soulmate,0.04,stooge,0.01,sweetheart,0.02,trooper,0.01,wife,0.12,world,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be someone's bag of tricks,107,0.48,,apples,0.01,beans,0.01,bones,0.05,cabbages,0.01,candy,0.03,chips,0.09,clothes,0.01,coal,0.01,coins,0.01,cookies,0.01,delight,0.01,diamonds,0.01,doorknobs,0.01,emotions,0.01,feelings,0.01,fruit,0.01,fun,0.01,groceries,0.02,makeup,0.01,marbles,0.01,money,0.02,peanuts,0.01,popcorn,0.01,problems,0.02,raisins,0.01,stuff,0.02,sunshine,0.01,sweets,0.01,tea,0.03,things,0.01,tools,0.01,treats,0.01,worms,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be someone's better half,108,0.92,,example,0.01,friend,0.01,girl,0.01,her,0.01,part,0.01,self,0.01,side,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be someone's bread and butter,109,0.94,,wine,0.01,cheese,0.01,water,0.03,honey,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be someone's finest hour,108,0.65,,achievement,0.03,act,0.02,blend,0.01,creation,0.01,day,0.04,goal,0.01,masterpiece,0.01,moment,0.09,move,0.02,pass,0.01,performance,0.01,suit,0.01,thing,0.01,time,0.01,work,0.06,yet,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be someone's other half,107,0.56,,beau,0.01,brother,0.08,choice,0.01,confidant,0.01,daughter,0.01,friend,0.08,girlfriend,0.03,love,0.03,lover,0.01,man,0.02,mind,0.01,option,0.01,self,0.02,side,0.02,sister,0.06,wife,0.02,woman,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be someone's partner in crime,106,0.90,,arms,0.01,class,0.01,everything,0.02,life,0.02,love,0.01,marriage,0.03,this,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be spoken for,108,0.44,,about,0.05,again,0.01,carefully,0.01,highly,0.01,loud,0.01,mind,0.01,mouth,0.01,much,0.01,of,0.07,out,0.02,outloud,0.01,promise,0.01,silent,0.01,sincerely,0.01,softly,0.02,to,0.25,truth,0.01,vigilantly,0.01,well,0.02,word,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the apple of someone's eye,108,0.89,,hand,0.01,heart,0.02,life,0.02,man,0.01,meal,0.01,tree,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the bane of someone's existence,105,0.85,,batman,0.01,desire,0.02,leg,0.01,life,0.07,pride,0.01,side,0.01,time,0.01,world,0.01,worry,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the bomb,107,0.00,,actor,0.01,afternoon,0.01,answer,0.01,best,0.23,bomb,0.03,boss,0.05,bride,0.01,cat,0.01,champion,0.01,clear,0.01,clown,0.01,cop,0.01,devil,0.01,dude,0.01,female,0.01,first,0.01,grandmother,0.01,head,0.01,hero,0.01,king,0.03,leader,0.05,limit,0.01,man,0.08,mark,0.01,one,0.08,pits,0.01,play,0.01,president,0.01,princess,0.02,reason,0.01,ruler,0.01,sergeant,0.01,sheriff,0.01,shit,0.01,smartest,0.01,star,0.05,teacher,0.02,winner,0.06,womanizer,0.01,world,0.01,worst,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the boy/girl next door,109,0.98,,line,0.01,year,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the cream of the crop,110,0.97,,pie,0.02,ice,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the lesser of two evils,110,0.98,,people,0.01,goods,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the life of the party,106,0.99,,ball,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the moment of truth,103,0.22,,all,0.01,bliss,0.01,calling,0.01,calm,0.01,chance,0.01,choice,0.01,clarity,0.05,decision,0.04,departure,0.01,discovery,0.02,glory,0.04,hope,0.01,impact,0.01,joy,0.02,judgment,0.01,joy,0.01,life,0.01,passion,0.02,reckoning,0.01,silence,0.06,surprise,0.01,time,0.04,triumph,0.04,truth,0.30,weakness,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the odd one out,109,0.98,,out,0.01,today,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be the unsung hero,104,0.90,,bird,0.01,man,0.01,person,0.01,singer,0.02,song,0.03,tunes,0.01,words,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be thrilled to bits,103,0.03,,accept,0.01,be,0.01,believe,0.01,come,0.01,death,0.36,drive,0.02,eat,0.01,find,0.01,finish,0.01,give,0.01,go,0.14,help,0.06,it,0.01,kill,0.01,know,0.02,leave,0.03,live,0.01,perform,0.01,pieces,0.06,play,0.01,return,0.01,ride,0.02,run,0.01,say,0.01,see,0.04,show,0.01,sing,0.02,speak,0.01,try,0.01,watch,0.01,win,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be too rich for one's blood,108,0.61,,britches,0.01,budget,0.01,comfort,0.01,eat,0.01,kind,0.02,liking,0.02,money,0.01,needs,0.01,palate,0.01,parents,0.01,stomach,0.01,taste/tastes,0.25,them,0.01,world,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be under the influence,107,0.03,,bar,0.01,bed,0.06,blanket,0.02,boardwalk,0.01,bridge,0.06,bus,0.02,car,0.01,covers,0.02,ground,0.01,gun,0.18,home,0.01,impression,0.01,lid,0.01,limit,0.01,moon,0.01,radar,0.04,roof,0.02,rug,0.01,spell,0.03,stairs,0.01,stars,0.04,sun,0.03,supervision,0.01,table,0.02,tarp,0.01,test,0.01,thumb,0.01,tree,0.01,water,0.01,weather,0.29,wire,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be up and running,105,0.16,,about,0.10,air,0.01,alive,0.01,arms,0.01,atem,0.04,awake,0.02,away,0.11,coming,0.03,down,0.30,gone,0.01,it,0.01,out,0.10,over,0.01,ready,0.07,restless,0.01,there,0.01,up,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be up in arms,108,0.48,,age,0.04,air,0.07,clouds,0.04,flames,0.02,heaven,0.04,herself,0.01,it,0.10,minutes,0.02,price,0.02,smoke,0.15,space,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be up in the air,108,0.87,,alley,0.01,attic,0.02,clouds,0.02,end,0.01,roof,0.01,sky,0.03,stars,0.01,tree,0.01,umpire,0.01,wind,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be wide open,107,0.54,,apart,0.02,around,0.02,awake,0.17,away,0.01,berth,0.01,child,0.01,eyed,0.12,eyes,0.01,grinning,0.01,left,0.01,load,0.03,path,0.01,receiver,0.01,shouldered,0.01,side,0.01,variety,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be wined and dined,110,0.97,,complained,0.01,tired,0.01,winded,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be without rhyme or reason,107,0.91,,rhythm,0.07,song,0.01,beat,0.01,melody,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be young at heart,110,0.94,,five,0.01,forty,0.01,life,0.01,sixteen,0.01,strong,0.01,trying,0.01,twelve,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be/fall under someone's spell,103,0.64,,bed,0.01,brow,0.01,car,0.02,care,0.01,charms,0.01,command,0.01,control,0.01,house,0.01,nose,0.01,radar,0.01,rule,0.01,skin,0.10,thumb,0.11,umbrella,0.01,wing,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be/feel under the weather,107,0.88,,bed,0.01,bus,0.01,gun,0.02,influence,0.02,mat,0.01,mud,0.01,radar,0.01,spell,0.01,surface,0.01,table,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be/get a rude awakening,109,0.62,,answer,0.02,attitude,0.02,boy,0.01,call,0.03,comment,0.01,glare,0.01,look,0.07,message,0.01,mouth,0.01,person,0.01,reaction,0.01,reception,0.02,remark,0.05,reply,0.03,response,0.02,stare,0.02,text,0.01,today,0.01,waiter,0.01,waitress,0.01,zone,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be/get up to speed,102,0.06,,bat,0.03,check,0.01,cook,0.01,dance,0.02,date,0.01,early,0.01,eat,0.02,everything,0.01,evil,0.02,fast,0.01,five,0.01,go,0.06,going,0.01,good,0.02,her,0.01,here,0.03,high,0.01,it,0.05,leave,0.05,listen,0.01,look,0.01,mischief,0.01,murder,0.01,nothing,0.08,par,0.06,pee,0.03,see,0.01,shenanigans,0.01,shower,0.01,snuff,0.02,something,0.16,stand,0.01,stretch,0.01,talk,0.01,tatters,0.01,trouble,0.08,work,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beat around the bush,110,0.97,,world,0.01,corner,0.01,clock,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beat the system,107,0.02,,bag,0.01,band,0.03,bank,0.01,bell,0.01,best,0.02,boss,0.01,bush,0.03,charges,0.01,clock,0.26,competitor,0.01,cripple,0.01,crowd,0.02,drum,0.06,eggs,0.03,game,0.08,girl,0.01,heat,0.05,meat,0.01,odds,0.16,punch,0.03,record,0.01,rest,0.01,rug,0.03,rush,0.02,score,0.03,streets,0.01,time,0.02,traffic,0.01,window,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Been around the block,108,0.76,,bend,0.01,bush/bushes,0.02,business,0.01,corner,0.03,country,0.01,hill,0.01,house,0.01,kids,0.01,lock,0.01,market,0.01,neighborhood,0.01,world,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bite one's tongue,107,0.47,,arm,0.02,cheek,0.01,feet,0.01,finger,0.01,fingernails,0.01,foot,0.01,hand,0.05,lip/lips,0.36,nails,0.04,pencil,0.01,thumb,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bite someone's head off,108,0.91,,finger,0.01,hard,0.05,hardly,0.01,open,0.01,sharply,0.01,softly,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bite the dust,103,0.18,,apple,0.07,arm,0.01,assailant,0.01,attacker,0.01,bar,0.01,bullet,0.57,burger,0.01,chomp,0.01,dirt,0.01,end,0.01,food,0.01,hand,0.01,lip,0.02,man,0.01,nail,0.02,sandwich,0.01,tip,0.01,tongue,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleed someone dry,110,0.85,,dusty,0.01,fine,0.01,hard,0.01,intensely,0.01,out,0.07,profusely,0.01,quickly,0.01,terribly,0.01,white,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow someone's cover,111,0.07,,balloon,0.01,chance,0.03,cock,0.01,cool,0.02,cut,0.01,dick,0.01,dough,0.01,ear,0.01,face,0.01,food,0.01,gasket,0.03,horn,0.04,lid,0.03,load,0.05,luck,0.01,mind,0.37,money,0.01,nose,0.14,record,0.01,shot,0.01,stack,0.01,top,0.08,wad,0.01,whistle,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow something out of the water,111,0.65,,back,0.01,ballpark,0.05,house,0.02,park,0.13,proportion,0.02,ring,0.01,room,0.01,sky,0.02,store,0.01,vacuum,0.01,way,0.02,window,0.05,woods,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow something sky-high,107,0.01,,again,0.02,all,0.05,anyways,0.01,away,0.18,bad,0.03,badly,0.01,big,0.04,bigtime,0.04,completely,0.01,fast,0.02,hard,0.03,off,0.10,open,0.03,out,0.07,over,0.01,together,0.01,totally,0.01,up,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow something wide open,103,0.97,,angled,0.01,hardly,0.01,right,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow the lid off it,104,0.88,,apart,0.02,open,0.06,shut,0.03,up,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow the whistle on it,105,0.13,,corruption,0.01,crime,0.02,everything,0.01,Friday,0.01,her,0.01,him,0.49,life,0.01,me,0.02,them,0.27,time,0.02,us,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow up in one's face,107,0.85,,end,0.01,hand/hands,0.04,house,0.01,lap,0.01,mind,0.04,mom,0.01,nose,0.01,phone,0.01,plans,0.01,yard,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bore the pants off her/him/me/them/us,111,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bored out of one's mind,105,0.88,,gourd,0.02,jokes,0.01,self,0.01,skull,0.07,wits,0.01,world,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bounce ideas off her/him/me/them/us/you,108,0.91,,everyone,0.01,fast,0.01,friends,0.01,head,0.01,it,0.03,others,0.01,quick,0.01,walls,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break one's back,102,0.41,,arm,0.04,bones,0.02,bank,0.04,fall,0.01,fast,0.02,first,0.01,ground,0.02,habit,0.02,heart,0.12,leg,0.02,neck,0.04,promise,0.06,record,0.06,routine,0.03,rule/rules,0.09,word,0.02,silence,0.04,sweat,0.02,vow,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break someone's heart,109,0.46,,arm,0.05,back,0.01,bank,0.03,cherry,0.01,concentration,0.01,down,0.03,face,0.01,fall,0.03,finger,0.01,foot,0.01,hold,0.01,it,0.01,lamp,0.01,leg,0.02,luck,0.01,neck,0.03,news,0.01,nose,0.03,record,0.01,silence,0.01,spirit,0.10,sternum,0.01,television,0.01,toes,0.01,toy,0.01,up,0.02,watch,0.02,will,0.04,wrist,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break the ice,110,0.05,,agreement,0.01,bank,0.12,barrier,0.01,bed,0.01,bicycle,0.01,chain,0.01,china,0.01,clock,0.01,code,0.02,computer,0.01,contract,0.01,deal,0.01,glass,0.04,lamp,0.01,law,0.11,machine,0.01,mirror,0.02,mold,0.11,news,0.01,phone,0.01,plate,0.01,promise,0.02,radio,0.01,record,0.11,rule/rules,0.10,silence,0.05,spell,0.01,string,0.01,television,0.01,tie,0.01,treaty,0.01,vase,0.03,window,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
